distance,x,y,value
4.509018036072144753e+01,4.000000000000000000e+01,4.509018036072144753e+01,4.903976249955909417e+00
4.527054108216433548e+01,4.000000000000000000e+01,4.527054108216433548e+01,2.986403335045832996e+00
4.545090180360721632e+01,4.000000000000000000e+01,4.545090180360721632e+01,9.851666803928016414e-01
4.563126252505010427e+01,4.000000000000000000e+01,4.563126252505010427e+01,9.784735812133078525e-01
4.581162324649299222e+01,4.000000000000000000e+01,4.581162324649299222e+01,9.784735812133078525e-01
4.599198396793587307e+01,4.000000000000000000e+01,4.599198396793587307e+01,9.784735812133078525e-01
4.617234468937876102e+01,4.000000000000000000e+01,4.617234468937876102e+01,2.132196552269554957e+00
4.635270541082164897e+01,4.000000000000000000e+01,4.635270541082164897e+01,3.883278625090987202e+00
4.653306613226452981e+01,4.000000000000000000e+01,4.653306613226452981e+01,3.900848010437020452e+00
4.671342685370741776e+01,4.000000000000000000e+01,4.671342685370741776e+01,3.338627679363900480e+00
4.689378757515030571e+01,4.000000000000000000e+01,4.689378757515030571e+01,1.587545606542468679e+00
4.707414829659318656e+01,4.000000000000000000e+01,4.707414829659318656e+01,9.784735812133077415e-01
4.725450901803607451e+01,4.000000000000000000e+01,4.725450901803607451e+01,9.784735812133078525e-01
4.743486973947896246e+01,4.000000000000000000e+01,4.743486973947896246e+01,9.784735812133078525e-01
4.761523046092185041e+01,4.000000000000000000e+01,4.761523046092185041e+01,9.784735812133078525e-01
4.779559118236473125e+01,4.000000000000000000e+01,4.779559118236473125e+01,9.784735812133078525e-01
4.797595190380761920e+01,4.000000000000000000e+01,4.797595190380761920e+01,9.784735812133079635e-01
4.815631262525050715e+01,4.000000000000000000e+01,4.815631262525050715e+01,9.784735812133078525e-01
4.833667334669338800e+01,4.000000000000000000e+01,4.833667334669338800e+01,9.784735812133078525e-01
4.851703406813627595e+01,4.000000000000000000e+01,4.851703406813627595e+01,9.784735812133078525e-01
4.869739478957916390e+01,4.000000000000000000e+01,4.869739478957916390e+01,9.784735812133078525e-01
4.887775551102204474e+01,4.000000000000000000e+01,4.887775551102204474e+01,9.784735812133078525e-01
4.905811623246493269e+01,4.000000000000000000e+01,4.905811623246493269e+01,9.784735812133078525e-01
4.923847695390782064e+01,4.000000000000000000e+01,4.923847695390782064e+01,9.784735812133077415e-01
4.941883767535070859e+01,4.000000000000000000e+01,4.941883767535070859e+01,9.784735812133078525e-01
4.959919839679358944e+01,4.000000000000000000e+01,4.959919839679358944e+01,9.784735812133078525e-01
4.977955911823647739e+01,4.000000000000000000e+01,4.977955911823647739e+01,9.784735812133078525e-01
4.995991983967936534e+01,4.000000000000000000e+01,4.995991983967936534e+01,9.784735812133078525e-01
5.014028056112224618e+01,4.000000000000000000e+01,5.014028056112224618e+01,9.784735812133079635e-01
5.032064128256513413e+01,4.000000000000000000e+01,5.032064128256513413e+01,9.784735812133078525e-01
5.050100200400802208e+01,4.000000000000000000e+01,5.050100200400802208e+01,9.784735812133078525e-01
5.068136272545090293e+01,4.000000000000000000e+01,5.068136272545090293e+01,9.784735812133077415e-01
5.086172344689379088e+01,4.000000000000000000e+01,5.086172344689379088e+01,9.784735812133078525e-01
5.104208416833667883e+01,4.000000000000000000e+01,5.104208416833667883e+01,9.784735812133078525e-01
5.122244488977955967e+01,4.000000000000000000e+01,5.122244488977955967e+01,9.784735812133079635e-01
5.140280561122244762e+01,4.000000000000000000e+01,5.140280561122244762e+01,9.784735812133078525e-01
5.158316633266533557e+01,4.000000000000000000e+01,5.158316633266533557e+01,9.784735812133078525e-01
5.176352705410822352e+01,4.000000000000000000e+01,5.176352705410822352e+01,9.784735812133078525e-01
5.194388777555110437e+01,4.000000000000000000e+01,5.194388777555110437e+01,9.784735812133078525e-01
